Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,BWH,BWD,BWA,IWH,IWD,IWA,,,
E0,02-03-2019,West Ham,Newcastle,2,0,H,2,0,H,C Kavanagh,10,17,4,2,8,14,1,6,3,4,0,0,2.1,3.4,3.6,2.05,3.45,3.6,,,
E0,02-03-2019,Wolves,Cardiff,2,0,H,2,0,H,A Marriner,13,12,6,4,11,6,7,8,1,2,0,0,1.5,4.2,7,1.5,4.15,6.8,,,
E0,03-03-2019,Everton,Liverpool,0,0,D,0,0,D,M Atkinson,7,10,3,3,12,10,3,7,1,2,0,0,5.5,4.1,1.6,5.4,3.95,1.63,,,
E0,03-03-2019,Fulham,Chelsea,1,2,A,1,2,A,G Scott,12,20,5,7,11,10,5,4,2,1,0,0,6,4.33,1.53,6,4.4,1.53,,,
E0,03-03-2019,Watford,Leicester,2,1,H,1,0,H,J Moss,6,14,5,2,15,12,1,5,5,1,0,0,2.45,3.2,3,2.45,3.3,2.95,,,
E0,09-03-2019,Cardiff,West Ham,2,0,H,1,0,H,G Scott,16,9,7,2,7,12,7,5,2,1,0,0,3.4,3.3,2.2,3.35,3.4,2.15,,,
E0,09-03-2019,Crystal Palace,Brighton,1,2,A,0,1,A,C Pawson,15,4,3,3,8,18,8,0,1,5,0,0,1.8,3.5,4.75,1.83,3.45,4.55,,,
E0,09-03-2019,Huddersfield,Bournemouth,0,2,A,0,1,A,A Taylor,8,8,1,5,14,9,6,5,3,1,0,0,3.4,3.2,2.25,3.35,3.2,2.25,,,
E0,09-03-2019,Leicester,Fulham,3,1,H,1,0,H,D Coote,18,6,8,3,9,13,6,5,0,2,0,0,1.6,4.1,5.5,1.6,4.25,5.4,,,
E0,09-03-2019,Man City,Watford,3,1,H,0,0,D,P Tierney,19,2,9,1,11,7,9,1,1,1,0,0,1.14,8.5,18,1.12,9,20,,,
E0,09-03-2019,Newcastle,Everton,3,2,H,0,2,A,L Mason,19,7,7,3,13,10,8,2,3,1,0,0,2.75,3.1,2.75,2.75,3.1,2.75,,,
E0,09-03-2019,Southampton,Tottenham,2,1,H,0,1,A,K Friend,12,16,4,5,16,9,1,10,4,2,0,0,4.2,3.7,1.85,4.15,3.7,1.85,,,
E0,10-03-2019,Arsenal,Man United,2,0,H,1,0,H,J Moss,14,14,3,4,12,18,5,2,2,2,0,0,2.35,3.5,2.95,2.35,3.55,2.9,,,
E0,10-03-2019,Chelsea,Wolves,1,1,D,0,0,D,M Oliver,22,2,6,1,8,14,13,0,1,4,0,0,1.55,4,6.5,1.45,4.4,7.2,,,
E0,10-03-2019,Liverpool,Burnley,4,2,H,2,1,H,A Marriner,23,3,5,2,4,7,7,3,2,0,0,0,1.17,7.5,15.5,1.17,7.5,15,,,
E0,16-03-2019,Bournemouth,Newcastle,2,2,D,0,1,A,M Dean,10,12,3,4,9,12,6,6,3,2,0,0,2.05,3.4,3.8,2.05,3.4,3.65,,,
E0,16-03-2019,Burnley,Leicester,1,2,A,1,1,D,M Oliver,13,9,2,4,9,10,9,3,1,1,0,1,3,3.3,2.4,3,3.25,2.4,,,
E0,16-03-2019,West Ham,Huddersfield,4,3,H,1,2,A,J Moss,16,15,5,5,7,15,5,8,0,2,0,0,1.57,4,6,1.5,4.3,6.5,,,
E0,17-03-2019,Everton,Chelsea,2,0,H,0,0,D,A Taylor,15,16,8,5,17,9,3,4,1,2,0,0,4.1,3.6,1.9,4.4,3.5,1.85,,,
E0,17-03-2019,Fulham,Liverpool,1,2,A,0,1,A,C Pawson,7,16,2,6,11,7,1,10,2,1,0,0,10.5,6.5,1.25,11,6.1,1.25,,,
E0,30-03-2019,Brighton,Southampton,0,1,A,0,0,D,M Oliver,14,8,1,2,8,10,6,5,1,2,0,0,2.6,3,3,2.55,3.05,3,,,
E0,30-03-2019,Burnley,Wolves,2,0,H,1,0,H,C Kavanagh,5,8,1,1,12,10,1,5,1,1,0,0,3.2,3.1,2.4,3.15,3.1,2.4,,,
E0,30-03-2019,Crystal Palace,Huddersfield,2,0,H,0,0,D,L Probert,19,15,5,5,10,7,5,5,0,0,0,0,1.45,4.25,8,1.5,4.3,6.5,,,
E0,30-03-2019,Fulham,Man City,0,2,A,0,2,A,K Friend,5,24,0,7,4,12,0,11,2,0,0,0,18,9.25,1.13,20,9,1.12,,,
